Date,Open,High,Low,Close,Volume
2025-07-28,6.32,6.32,6.24,6.27,46231846
2025-07-29,6.29,6.31,6.15,6.19,61617531
2025-07-30,6.21,6.26,6.17,6.22,40840497
2025-07-31,6.17,6.21,6.13,6.14,39283651
2025-08-01,6.03,6.09,5.95,6.01,65202313
2025-08-04,6.07,6.12,6.02,6.12,38292444
2025-08-05,6.12,6.15,6.06,6.11,34987139
2025-08-06,6.11,6.11,6.03,6.09,48239222
2025-08-07,6.04,6.09,6,6.04,34283323
2025-08-08,6.07,6.09,6.01,6.03,36356075
2025-08-11,6.05,6.11,6.03,6.04,48651841
2025-08-12,6.06,6.1,6.05,6.1,32831014
2025-08-13,6.13,6.15,6.05,6.09,57798693
2025-08-14,5.95,5.98,5.87,5.95,69038386
